30.0341	0.7043
51.255	1.437
81.2499	1.4315
98.4187	4.6481
107.7725	11.701
134.6143	4.492
194.1594	3.0229
234.8626	8.4444
258.5511	2.5042
271.2359	7.7941
297.3482	60.9947
317.0497	31.6299
327.3003	18.9284
339.7949	81.1616
363.8291	69.4026
388.3402	74.878
432.9841	26.9665
450.8682	123.5474
530.2192	79.8088
534.7934	17.3052
555.7115	14.8009
585.803	96.1945
661.1852	31.3103
757.3766	41.2627
827.7211	6.9118
863.7657	15.5279
917.4889	24.2666
974.0039	5.548
1002.6482	22.4458
1032.1027	119.6759
1060.8792	27.113
1077.9686	117.7788
1088.242	43.2557
1114.662	120.387
1148.9942	60.4357
1164.127	19.0511
1185.5528	30.4732
1221.5106	26.1721
1234.3278	5.0769
1270.4776	13.3386
1282.9462	76.4299
1301.8516	28.068
1309.7175	66.4884
1337.0202	58.1483
1372.735	7.6394
1372.9836	7.4693
1392.4584	23.2836
1396.6115	20.2381
1414.13	20.7095
1429.0206	54.5287
1459.313	42.6236
1461.3992	5.234
1497.0864	3.7045
1742.9628	124.2142
2911.2964	45.1017
2961.4454	62.5336
3006.967	32.5913
3018.9634	47.0818
3023.9007	11.5563
3055.7953	11.7075
3135.3785	6.9595
3716.4205	157.048
3721.5041	135.1478
3788.4872	80.2604
3803.2726	24.6943
3825.3496	30.1736
