3.996813e+002,0.000000e+000
4.001635e+002,6.662286e+001
4.006456e+002,6.734683e+001
4.011277e+002,6.788340e+001
4.016098e+002,6.823070e+001
4.020919e+002,6.838928e+001
4.025741e+002,6.836200e+001
4.030562e+002,6.815429e+001
4.035383e+002,6.777382e+001
4.040204e+002,6.723397e+001
4.045026e+002,6.655593e+001
4.049847e+002,6.577256e+001
4.054668e+002,6.493019e+001
4.059489e+002,6.408607e+001
4.064311e+002,6.329436e+001
4.069132e+002,6.259328e+001
4.073953e+002,6.199285e+001
4.078774e+002,6.147655e+001
4.083596e+002,6.101124e+001
4.088417e+002,6.056290e+001
4.093238e+002,6.010880e+001
4.098059e+002,5.964387e+001
4.102881e+002,5.917766e+001
4.107702e+002,5.872602e+001
4.112523e+002,5.830181e+001
4.117344e+002,5.791195e+001
4.122166e+002,5.756107e+001
4.126987e+002,5.725869e+001
4.131808e+002,5.702172e+001
4.136629e+002,5.687217e+001
4.141451e+002,5.682813e+001
4.146272e+002,5.689540e+001
4.151093e+002,5.706548e+001
4.155914e+002,5.732132e+001
4.160736e+002,5.764903e+001
4.165557e+002,5.805092e+001
4.170378e+002,5.855673e+001
4.175200e+002,5.922971e+001
4.180021e+002,6.014604e+001
4.184842e+002,6.132686e+001
4.189663e+002,6.265002e+001
4.194484e+002,6.388570e+001
4.199306e+002,6.486388e+001
4.204127e+002,6.556564e+001
4.208948e+002,6.606277e+001
4.213770e+002,6.644096e+001
4.218591e+002,6.676849e+001
4.223412e+002,6.709858e+001
4.228233e+002,6.747444e+001
4.233055e+002,6.793195e+001
4.237876e+002,6.849374e+001
4.242697e+002,6.916183e+001
4.247518e+002,6.991276e+001
4.252339e+002,7.070198e+001
4.257161e+002,7.147638e+001
4.261982e+002,7.219059e+001
4.266803e+002,7.281770e+001
4.271624e+002,7.335287e+001
4.276446e+002,7.380822e+001
4.281267e+002,7.420503e+001
4.286088e+002,7.456637e+001
4.290909e+002,7.491161e+001
4.295731e+002,7.525416e+001
4.300552e+002,7.560165e+001
4.305373e+002,7.595681e+001
4.310194e+002,7.631786e+001
4.315016e+002,7.667898e+001
4.319837e+002,7.703082e+001
4.324658e+002,7.736062e+001
4.329479e+002,7.765916e+001
4.334301e+002,7.792124e+001
4.339122e+002,7.815010e+001
4.343943e+002,7.835694e+001
4.348764e+002,7.855779e+001
4.353586e+002,7.876633e+001
4.358407e+002,7.898777e+001
4.363228e+002,7.921475e+001
4.368049e+002,7.943050e+001
4.372870e+002,7.961713e+001
4.377692e+002,7.976514e+001
4.382513e+002,7.987689e+001
4.387334e+002,7.996454e+001
4.392155e+002,8.004277e+001
4.396977e+002,8.012204e+001
4.401798e+002,8.020288e+001
4.406619e+002,8.027464e+001
4.411440e+002,8.031776e+001
4.416262e+002,8.031130e+001
4.421083e+002,8.024236e+001
4.425904e+002,8.011337e+001
4.430725e+002,7.994084e+001
4.435547e+002,7.974886e+001
4.440368e+002,7.955986e+001
4.445189e+002,7.939003e+001
4.450010e+002,7.924885e+001
4.454832e+002,7.914213e+001
4.459653e+002,7.907397e+001
4.464474e+002,7.904694e+001
4.469295e+002,7.906013e+001
4.474117e+002,7.910690e+001
4.478938e+002,7.917411e+001
4.483759e+002,7.924508e+001
4.488580e+002,7.930357e+001
